"input","Expected","difficulty_level","answers"
"Series.index","What is the role of the `index` in the Series class in Pandas?","Medium","The index (axis labels) of the Series provides the labels for the data elements. It's used to align data when performing operations between Series and DataFrames."
"Series.array","What is the `array` attribute in a Pandas Series, and how does it differ from `values`?","Medium","The `array` attribute provides access to the underlying data as an ExtensionArray. It supports a more flexible and efficient memory layout compared to `values`, especially for categorical and datetime types."
"Series.values","How does the `values` attribute return the data in a Pandas Series?","Easy","The `values` attribute returns the data of the Series as a NumPy ndarray. For example, `series.values` gives an array-like object that can be used for mathematical operations."
"Series.dtype","What does the `dtype` attribute in a Pandas Series return?","Medium","The `dtype` attribute returns the data type of the Series, which is a numpy dtype object indicating the type of the elements (e.g., `int64`, `float64`, `datetime64`)."
"Series.shape","What does the `shape` attribute of a Series in Pandas return?","Medium","The `shape` attribute returns a tuple representing the dimensions of the underlying data. For a Series, it returns a single value tuple indicating the number of elements."
"Series.nbytes","What is the purpose of the `nbytes` attribute in a Pandas Series?","Medium","The `nbytes` attribute returns the number of bytes used to store the data in the Series. This can help in understanding memory usage, especially with large datasets."
"Series.ndim","What does the `ndim` attribute indicate about a Series in Pandas?","Easy","The `ndim` attribute returns the number of dimensions of the Series. Since a Series is essentially a one-dimensional object, it always returns `1`."
"Series.size","What is the purpose of the `size` attribute in a Pandas Series?","Easy","The `size` attribute returns the total number of elements in the Series. It's equivalent to the length of the Series."
"Series.T","What does the `T` attribute do in a Pandas Series?","Medium","The `T` attribute returns the transpose of the Series. Since Series are one-dimensional, transposing a Series results in the same Series (self-transpose)."
"Series.memory_usage([index, deep])","What does the `memory_usage` method return in a Pandas Series?","Medium","The `memory_usage` method returns the memory usage of the Series. It can optionally include the memory usage of the index (`index=True`) and whether deep introspection is required to account for object types (`deep=True`)."
"Series.hasnans","How does the `hasnans` attribute help identify missing values in a Series?","Easy","The `hasnans` attribute returns `True` if there are any missing (NaN) values in the Series. This is useful for identifying incomplete data."
"Series.empty","What does the `empty` attribute indicate about a Pandas Series?","Easy","The `empty` attribute checks if the Series is empty, i.e., contains no elements. It returns `True` if the Series has no elements, otherwise `False`."
"Series.dtypes","What is the `dtypes` attribute used for in a Pandas Series?","Medium","The `dtypes` attribute returns the data type of each element in the Series. It helps you understand the type of data the Series holds (e.g., `float64`, `datetime64`)."
"Series.name","What is the purpose of the `name` attribute in a Pandas Series?","Medium","The `name` attribute assigns or retrieves the name of the Series. This can be helpful when working with multiple Series and keeping track of their purpose or identity."
"Series.flags","What are the properties associated with a Pandas Series in `flags`?","Hard","The `flags` attribute contains various flags indicating whether the Series has specific properties like `copy`, `writeable`, or `mutable`. These properties help manage the behavior of the Series during operations."
"Series.set_flags(*[, copy, ...])","What does the `set_flags` method do in a Pandas Series?","Hard","The `set_flags` method is used to set or update the flags for a Series. It allows you to change the behavior of the Series, such as making it read-only or mutable."
"Series.add(other[, level, fill_value, axis])","What does the `add` method do in a Pandas Series?","Medium","The `add` method performs element-wise addition between the Series and another Series or scalar. You can specify a `fill_value` to handle missing data."
"Series.sub(other[, level, fill_value, axis])","What is the function of the `sub` method in a Pandas Series?","Medium","The `sub` method performs element-wise subtraction between the Series and another Series or scalar. It can handle missing values with a `fill_value`."
"Series.mul(other[, level, fill_value, axis])","How does the `mul` method operate in a Pandas Series?","Medium","The `mul` method performs element-wise multiplication between the Series and another Series or scalar. It's useful for mathematical operations on numerical data."
"Series.div(other[, level, fill_value, axis])","What is the purpose of the `div` method in a Pandas Series?","Medium","The `div` method performs element-wise floating-point division between the Series and another Series or scalar, with options to handle missing values (`fill_value`)."
"Series.truediv(other[, level, fill_value, axis])","How does `truediv` perform floating division in a Pandas Series?","Medium","The `truediv` method performs true division (floating point) between the Series and another Series or scalar. It handles missing values using `fill_value`."
"Series.floordiv(other[, level, fill_value, axis])","What does the `floordiv` method do in a Pandas Series?","Medium","The `floordiv` method performs element-wise integer (floor) division, returning the quotient with the fractional part truncated."
"Series.mod(other[, level, fill_value, axis])","What is the purpose of the `mod` method in a Pandas Series?","Medium","The `mod` method performs element-wise modulo (remainder) operation between the Series and another Series or scalar."
"Series.pow(other[, level, fill_value, axis])","How does the `pow` method work in a Pandas Series?","Medium","The `pow` method computes the element-wise exponential power of the Series and another Series or scalar. It's useful for power-based operations on numerical data."
"Series.radd(other[, level, fill_value, axis])","What does the `radd` method do in a Pandas Series?","Medium","The `radd` method is the reverse of the `add` method. It performs addition of the Series and another object, supporting element-wise operations."
"Series.rsub(other[, level, fill_value, axis])","What is the function of the `rsub` method in a Pandas Series?","Medium","The `rsub` method performs element-wise subtraction where the Series is on the right-hand side of the operation."
"Series.rmul(other[, level, fill_value, axis])","What does the `rmul` method do in a Pandas Series?","Medium","The `rmul` method performs element-wise multiplication with the Series on the right-hand side of the operation."
"Series.rdiv(other[, level, fill_value, axis])","What is the role of the `rdiv` method in a Pandas Series?","Medium","The `rdiv` method performs element-wise division where the Series is on the right-hand side of the division operation."
"Series.rtruediv(other[, level, fill_value, axis])","What does the `rtruediv` method do in a Pandas Series?","Medium","The `rtruediv` method performs element-wise true division where the Series is on the right-hand side."
"Series.rfloordiv(other[, level, fill_value, ...])","How does the `rfloordiv` method work in a Pandas Series?","Medium","The `rfloordiv` method performs element-wise floor division, where the Series is on the right-hand side of the division."
"Series.rmod(other[, level, fill_value, axis])","What is the `rmod` method used for in a Pandas Series?","Medium","The `rmod` method performs element-wise modulo operation, with the Series on the right-hand side."
"Series.rpow(other[, level, fill_value, axis])","How does the `rpow` method perform exponential power in a Pandas Series?","Medium","The `rpow` method calculates element-wise exponential power, where the Series is on the right-hand side."
"Series.combine(other, func[, fill_value])","What does the `combine` method do in a Pandas Series?","Hard","The `combine` method combines two Series according to a function, allowing complex operations between the Series and a scalar."
"Series.combine_first(other)","What is the purpose of the `combine_first` method in a Pandas Series?","Hard","The `combine_first` method updates missing values (NaNs) in a Series with corresponding values from another Series."
"Series.round([decimals])","How does the `round` method work in a Pandas Series?","Easy","The `round` method rounds each element in the Series to a specified number of decimals. For example, `series.round(2)` rounds the elements to two decimal places."
"Series.lt(other[, level, fill_value, axis])","What does the `lt` method check in a Pandas Series?","Easy","The `lt` method checks if each element in the Series is less than the corresponding element in another Series or scalar (element-wise)."
"Series.gt(other[, level, fill_value, axis])","How does the `gt` method work in a Pandas Series?","Easy","The `gt` method checks if each element in the Series is greater than the corresponding element in another Series or scalar (element-wise)."
"Series.le(other[, level, fill_value, axis])","What is the purpose of the `le` method in a Pandas Series?","Easy","The `le` method checks if each element in the Series is less than or equal to the corresponding element in another Series or scalar."
"Series.ge(other[, level, fill_value, axis])","How does the `ge` method work in a Pandas Series?","Easy","The `ge` method checks if each element in the Series is greater than or equal to the corresponding element in another Series or scalar."
"Series.ne(other[, level, fill_value, axis])","What is the `ne` method used for in a Pandas Series?","Easy","The `ne` method checks if each element in the Series is not equal to the corresponding element in another Series or scalar."
"Series.eq(other[, level, fill_value, axis])","What does the `eq` method check in a Pandas Series?","Easy","The `eq` method checks if each element in the Series is equal to the corresponding element in another Series or scalar."
"Series.product([axis, skipna, numeric_only, ...])","What does the `product` method compute in a Pandas Series?","Medium","The `product` method computes the product of the values in the Series over the specified axis. By default, it operates over all elements."
"Series.dot(other)","What is the purpose of the `dot` method in a Pandas Series?","Medium","The `dot` method computes the dot product between the Series and another Series or DataFrame column. This is commonly used for linear algebra operations."
"Series.cat.categories","What does the `categories` attribute return in a Pandas Categorical?","Medium","The `categories` attribute returns the unique categories of a Pandas Categorical object. This is important when working with categorical data types."
"Series.cat.ordered","What does the `ordered` attribute indicate in a Pandas Categorical?","Medium","The `ordered` attribute indicates whether the categories in a categorical are ordered. This is used for ordinal data types."
"Series.cat.codes","What does the `codes` attribute return in a Pandas Categorical?","Medium","The `codes` attribute returns the integer representation (codes) of the categories, which can be used for analysis and computation."
"Series.cat.rename_categories(*args, **kwargs)","What does the `rename_categories` method do in a Pandas Categorical?","Medium","The `rename_categories` method allows you to rename the categories in a Categorical object. This is useful when re-labeling data."
"Series.cat.reorder_categories(*args, **kwargs)","How does the `reorder_categories` method work in a Pandas Categorical?","Medium","The `reorder_categories` method allows you to reorder the categories in a Categorical object, which is important when managing the sequence of categorical levels."
"Series.cat.add_categories(*args, **kwargs)","What does the `add_categories` method do in a Pandas Categorical?","Medium","The `add_categories` method allows you to add new categories to an existing Categorical object. This is useful when expanding categorical values."
